FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
./bam/hg19/	20130110_1296	hg19	BE2C_INPUT	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/BE2C/None/20130110_1296/ACAGTG-s_5_1_sequence_copy.txt.tar.gz
./bam/hg19/	20130405_471	hg19	BE2C_MYCN	BE2C_INPUT		BE2C_MYCN_peaks.bed	255,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/BE2C/MYCN/20130405_471/GTCCGC-s_3_1_sequence.txt.tar.gz
./bam/hg19/	20130110_463	hg19	BE2C_H3K27AC	BE2C_INPUT		BE2C_H3K27AC_peaks.bed	0,0,255	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/BE2C/H3K27Ac/20130110_463/ACTTGA-s_5_1_sequence.txt.tar.gzz
./bam/hg19/	20140902_2040	hg19	KELLY_INPUT	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/KELLY/None/20140902_2040/20140902-KELLY-Input-RZ1222_S3_R1.fastq.gz
./bam/hg19/	20150925_5017	hg19	KELLY_MYCN	KELLY_INPUT		KELLY_MYCN_peaks.bed	255,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/KELLY/MYCN/20150925_5017/20150924-KELLY-MYCN-RZ2300_S9_R1_001.fastq.gz
./bam/hg19/	20140902_2039	hg19	KELLY_H3K27AC	KELLY_INPUT		KELLY_H3K27AC_peaks.bed	0,0,255	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/KELLY/H3K27Ac/20140902_2039/20140902-KELLY-H3K27Ac-RZ1222_S7_R1.fastq.gz
./bam/hg19/	20140902_2044	hg19	NGP_INPUT	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/NGP/None/20140902_2044/20140902-NGP-Input-RZ1222_S2_R1.fastq.gz
./bam/hg19/	20150925_5016	hg19	NGP_MYCN	NGP_INPUT		NGP_MYCN_peaks.bed	255,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/NGP/MYCN/20150925_5016/20150924-NGP-MYCN-RZ2300_S8_R1_001.fastq.gz
./bam/hg19/	20140902_2043	hg19	NGP_H3K27AC	NGP_INPUT		NGP_H3K27AC_peaks.bed	0,0,255	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/NGP/H3K27Ac/20140902_2043/20140902-NGP-H3K27Ac-RZ1222_S6_R1.fastq.gz
./bam/hg19/	20141017_2321	hg19	SHEP21_0HR_INPUT_NOSPIKE	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/None/20141017_2321/20141017-SHEP21-0HR-Input-RZ1391_S3_R1.fastq.gz
./bam/hg19/	20150925_5014	hg19	SHEP21_0HR_MYCN_NOSPIKE	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_MYCN_NOSPIKE_peaks.bed	255,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/MYCN/20150925_5014/20150924-SHEP21-MYCN-RZ2300_S6_R1_001.fastq.gz
./bam/hg19/	20141017_2324	hg19	SHEP21_0HR_H3K27AC_NOSPIKE	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_H3K27AC_NOSPIKE_peaks.bed	0,0,255	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/H3K27Ac/20141017_2324/20141017-SHEP21-0HR-H3K27Ac-RZ1391_S6_R1.fastq.gz
