FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
./bam/hg19/	SHEP21_0HR_CTCF	hg19	SHEP21_0HR_CTCF_RX	SHEP21_0HR_INPUT_RX_2		SHEP21_0HR_CTCF_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_CTCF_ML3391_S7_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_CTCF_ML3391_S7_R2_001.fastq.gz
./bam/hg19/	SHEP21_0HR_H3K4ME3	hg19	SHEP21_0HR_H3K4ME3_RX	SHEP21_0HR_INPUT_RX_2		SHEP21_0HR_H3K4ME3_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_H3K4Me3_ML3391_S4_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_H3K4Me3_ML3391_S4_R2_001.fastq.gz
./bam/hg19/	SHEP21_0HR_INPUT	hg19	SHEP21_0HR_INPUT_RX_2	NONE		NONE	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_input_ML3391_S1_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_0hr_input_ML3391_S1_R2_001.fastq.gz
./bam/hg19/	SHEP21_24HR_CTCF	hg19	SHEP21_24HR_CTCF_RX	SHEP21_24HR_INPUT_RX_2		SHEP21_24HR_CTCF_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_CTCF_ML3391_S9_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_CTCF_ML3391_S9_R2_001.fastq.gz
./bam/hg19/	SHEP21_24HR_H3K4ME3	hg19	SHEP21_24HR_H3K4ME3	SHEP21_24HR_INPUT_RX_2		SHEP21_24HR_H3K4ME3_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_H3K4Me3_ML3391_S6_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_H3K4Me3_ML3391_S6_R2_001.fastq.gz
./bam/hg19/	SHEP21_24HR_INPUT	hg19	SHEP21_24HR_INPUT_RX_2	NONE		NONE	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_input_ML3391_S3_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_24hr_input_ML3391_S3_R2_001.fastq.gz
./bam/hg19/	SHEP21_2HR_CTCF	hg19	SHEP21_2HR_CTCF_RX	SHEP21_2HR_INPUT_RX_2		SHEP21_2HR_CTCF_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_CTCF_ML3391_S8_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_CTCF_ML3391_S8_R2_001.fastq.gz
./bam/hg19/	SHEP21_2HR_H3K4ME3	hg19	SHEP21_2HR_H3K4ME3_RX	SHEP21_2HR_INPUT_RX_2		SHEP21_2HR_H3K4ME3_peaks.bed	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_H3K4Me3_ML3391_S5_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_H3K4Me3_ML3391_S5_R2_001.fastq.gz
./bam/hg19/	SHEP21_2HR_INPUT	hg19	SHEP21_2HR_INPUT_RX_2	NONE		NONE	0,0,0	/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_input_ML3391_S2_R1_001.fastq.gz::/mnt/mbcf/160826_ML3391_NS500144_fastq/20160826_SHEP21_2hr_input_ML3391_S2_R2_001.fastq.gz
./bam/hg19/	20141230_3094	hg19	SHEP21_0HR_H3K27AC_RX	SHEP21_0HR_INPUT_RX_1		SHEP21_0HR_H3K27AC_peaks.bed	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/H3K27Ac/20141230_3094/20141230-SHEP21-0HR-K27Ac-RZ1586_S4_R1.fastq.gz
