FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
./bam/hg19/	20141017_2324	hg19	SHEP21_0HR_H3K27AC_NOSPIKE	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_H3K27AC_NOSPIKE_peaks.bed	0,0,255	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/H3K27Ac/20141017_2324/20141017-SHEP21-0HR-H3K27Ac-RZ1391_S6_R1.fastq.gz
./bam/hg19/	20141017_2321	hg19	SHEP21_0HR_INPUT_NOSPIKE	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/None/20141017_2321/20141017-SHEP21-0HR-Input-RZ1391_S3_R1.fastq.gz
./bam/hg19/	20150925_5014	hg19	SHEP21_0HR_MYCN_NOSPIKE	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_MYCN_NOSPIKE_peaks.bed	255,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/MYCN/20150925_5014/20150924-SHEP21-MYCN-RZ2300_S6_R1_001.fastq.gz
./bam/hg19/	20150925_5013	hg19	SHEP21_0HR_POL2_NOSPIKE	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_POL2_NOSPIKE_peaks.bed	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/RNA.POL2/20150925_5013/20150924-SHEP21-Pol2-RZ2300_S5_R1_001.fastq.gz
./bam/hg19/	20151022_5304	hg19	SHEP21_0HR_POL2_NOSPIKE_R2	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_POL2_NOSPIKE_R2_peaks.bed	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/RNA.POL2/20151022_5304/SHEP21_POL2_merge.fastq.gz
./bam/hg19/	20151231_5765	hg19	SHEP21_0HR_TWIST	SHEP21_0HR_INPUT_NOSPIKE		SHEP21_0HR_TWIST_peaks.bed	255,128,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/TWIST/20151231_5765/20151231-shep21-0hr-twist-RZ2638_S4_R1_001.fastq.gz
./bam/hg19/	20160114_5817	hg19	SHEP21_24HR_B_TWIST	SHEP21_24HR_INPUT_NOSPIKE		SHEP21_24HR_B_TWIST_peaks.bed	255,128,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/TWIST/20160114_5817/20160114-shep21-24hr-b-TWIST-ML2677_S2_R1_001.fastq.gz
./bam/hg19/	20141017_2326	hg19	SHEP21_24HR_H3K27AC_NOSPIKE	SHEP21_24HR_INPUT_NOSPIKE		SHEP21_24HR_H3K27AC_NOSPIKE_peaks.bed	0,0,255	0,0,0
./bam/hg19/	20141017_2323	hg19	SHEP21_24HR_INPUT_NOSPIKE	NONE		NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/None/20141017_2323/20141017-SHEP21-24HR-Input-RZ1391_S5_R1.fastq.gz
./bam/hg19/	20151019_5215	hg19	SHEP21_24HR_INPUT_NOSPIKE_rep2	NONE	NONE	NONE	0,0,0	/grail/TONY/Bradner/Homo.sapiens/Neuroblastoma/SHEP21/None/20151019_5215/20151019-SHEP21-24HR-Input-nospike-RZ2408_S4_R1_001.fastq.gz
