FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
./bam/mm9/	20161210_7954	mm9	CG_H3K27Ac	CG_input		CG_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/CG/primary/H3K27Ac/20161210_7954/20161210_CG_H3K27Ac_ML3790_S4_R1_001.fastq.gz
./bam/mm9/	20161210_7953	mm9	CG_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/CG/primary/None/20161210_7953/20161210_CG_input_ML3790_S3_R1_001.fastq.gz
./bam/mm9/	20161210_7952	mm9	SCG_H3K27Ac	SCG_input		SCG_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/SCG/primary/H3K27Ac/20161210_7952/20161210_SCG_H3K27Ac_ML3790_S2_R1_001.fastq.gz
./bam/mm9/	20161210_7951	mm9	SCG_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/SCG/primary/None/20161210_7951/20161210_SCG_input_ML3790_S1_R1_001.fastq.gz
./bam/mm9/	20160802_6870	mm9	THMYCN1_H3K27Ac	THMYCN1_input		THMYCN1_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/H3K27Ac/20160802_6870/20160802-THMYN1-H3K27Ac-ML3288_S2_R1_001.fastq.gz
./bam/mm9/	20160802_6871	mm9	THMYCN1_MYCN	THMYCN1_input		THMYCN1_MYCN_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/MYCN/20160802_6871/20160802-THMYCN1-MYCN-ML3288_S3_R1_001.fastq.gz
./bam/mm9/	20160802_6869	mm9	THMYCN1_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/None/20160802_6869/20160802-THMYCN1-input-ML3288_S1_R1_001.fastq.gz
./bam/mm9/	20160802_6873	mm9	THMYCN2_H3K27Ac	THMYCN2_input		THMYCN2_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/H3K27Ac/20160802_6873/20160802-THMYCN2-H3K27Ac-ML3288_S5_R1_001.fastq.gz
./bam/mm9/	20160802_6874	mm9	THMYCN2_MYCN	THMYCN2_input		THMYCN2_MYCN_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/MYCN/20160802_6874/20160802-THMYCN2-MYCN-ML3288_S6_R1_001.fastq.gz
./bam/mm9/	20160802_6875	mm9	THMYCN2_TWIST	THMYCN2_input		THMYCN2_TWIST_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/TWIST/20160802_6875/20160802-THMYCN2-TWIST-ML3288_S7_R1_001.fastq.gz
./bam/mm9/	20160802_6872	mm9	THMYCN2_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/None/20160802_6872/20160802-THMYCN2-input-ML3288_S4_R1_001.fastq.gz
./bam/mm9/	20161123_7903	mm9	THMYCN_139076_H3K27Ac	THMYCN_139076_input		THMYCN_139076_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/H3K27Ac/20161123_7903/20161123_THMYCN_139076_H3K27Ac_ML3672_S2_R1_001.fastq.gz
./bam/mm9/	20161123_7904	mm9	THMYCN_139076_MYCN	THMYCN_139076_input		THMYCN_139076_MYCN_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/MYCN/20161123_7904/20161123_THMYCN_139076_MYCN_ML3672_S3_R1_001.fastq.gz
./bam/mm9/	20161123_7905	mm9	THMYCN_139076_TWIST	THMYCN_139076_input		THMYCN_139076_TWIST_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/TWIST/20161123_7905/20161123_THMYCN_139076_TWIST_ML3672_S4_R1_001.fastq.gz
./bam/mm9/	20161123_7902	mm9	THMYCN_139076_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/None/20161123_7902/20161123_THMYCN_139076_input_ML3672_S1_R1_001.fastq.gz
./bam/mm9/	20161006_7584	mm9	THMYCN_139423_H3K27Ac	THMYCN_139423_input		THMYCN_139423_H3K27Ac_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/H3K27Ac/20161006_7584/20161006_THMYCN_139423_H3K27Ac_ML3543_S4_R1_001.fastq.gz
./bam/mm9/	20161006_7585	mm9	THMYCN_139423_MYCN	THMYCN_139423_input		THMYCN_139423_MYCN_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/MYCN/20161006_7585/20161006_THMYCN_139423_MYCN_ML3543_S5_R1_001.fastq.gz
./bam/mm9/	20161006_7586	mm9	THMYCN_139423_TWIST	THMYCN_139423_input		THMYCN_139423_TWIST_peaks.bed	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/TWIST/20161006_7586/20161006_THMYCN_139423_TWIST_ML3543_S6_R1_001.fastq.gz
./bam/mm9/	20161006_7583	mm9	THMYCN_139423_input	NONE		NONE	0,0,0	/grail/TONY/Bradner/Mus.musculus/neuroblastoma/THMYCN/None/20161006_7583/20161006_THMYCN_139423_input_ML3543_S3_R1_001.fastq.gz
